<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 3468832465
	2048	91.9%	(19.4%)
	4096	72.5%	(43.5%)
	8192	29%	(29%)
663000	mean = 76335.4	max = 175628
	64	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(1.5%)
	1024	98%	(7.8%)
	2048	90.2%	(19.9%)
	4096	70.3%	(40.9%)
	8192	29.4%	(29.4%)
664000	mean = 78114.7	max = 226856
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.5%)
	1024	98%	(5.9%)
	2048	92.1%	(19.6%)
	4096	72.5%	(42.2%)
	8192	30.3%	(30.2%)
	16384	0.1%	(0.1%)
665000	mean = 78002.8	max = 176824
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.4%)
	512	99.3%	(0.9%)
	1024	98.4%	(4.9%)
	2048	93.5%	(20.3%)
	4096	73.2%	(43.9%)
	8192	29.3%	(29.3%)
666000	mean = 78061.4	max = 175660
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.4%)
	512	99.3%	(1.6%)
	1024	97.7%	(5.4%)
	2048	92.3%	(20.7%)
	4096	71.6%	(40.5%)
	8192	31.1%	(31.1%)
667000	mean = 80030.6	max = 173312
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	512	99.7%	(0.9%)
	1024	98.8%	(5.5%)
	2048	93.3%	(22.2%)
	4096	71.1%	(38.1%)
	8192	33%	(33%)
668000	mean = 79049.7	max = 175740
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.4%)
	1024	98.2%	(5.7%)
	2048	92.5%	(18.6%)
	4096	73.9%	(42.6%)
	8192	31.3%	(31.3%)
669000	mean = 79076.9	max = 176636
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.5%)
	1024	97.9%	(6%)
	2048	91.9%	(19.5%)
	4096	72.4%	(40.8%)
	8192	31.6%	(31.6%)
670000	mean = 77107.5	max = 177980
	64	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.3%)
	1024	98.4%	(5.9%)
	2048	92.5%	(21%)
	4096	71.5%	(42.8%)
	8192	28.7%	(28.7%)
671000	mean = 78387	max = 232912
	256	100%	(0.7%)
	512	99.3%	(1.5%)
	1024	97.8%	(5.8%)
	2048	92%	(20.9%)
	4096	71.1%	(40.9%)
	8192	30.2%	(30.1%)
	16384	0.1%	(0.1%)
672000	mean = 78433	max = 244232
	32	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.1%)
	512	99.6%	(1%)
	1024	98.6%	(4.4%)
	2048	94.2%	(22.2%)
	4096	72%	(42.6%)
	8192	29.4%	(29.3%)
	16384	0.1%	(0.1%)
673000	mean = 77547.6	max = 173336
	64	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.5%)
	1024	98.1%	(6.3%)
	2048	91.8%	(19.6%)
	4096	72.2%	(42.6%)
	8192	29.6%	(29.6%)
674000	mean = 76800.9	max = 173864
	128	100%	(0.4%)
	256	99.6%	(0.4%)
	512	99.2%	(1.4%)
	1024	97.8%	(6.4%)
	2048	91.4%	(20%)
	4096	71.4%	(42.5%)
	8192	28.9%	(28.9%)
675000	mean = 77675.6	max = 175620
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	512	99.8%	(2%)
	1024	97.8%	(4.9%)
	2048	92.9%	(21.8%)
	4096	71.1%	(41.4%)
	8192	29.7%	(29.7%)
676000	mean = 78343.6	max = 175400
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(0.6%)
	1024	98.9%	(6%)
	2048	92.9%	(20.8%)
	4096	72.1%	(42.3%)
	8192	29.8%	(29.8%)
677000	mean = 75921.8	max = 177296
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.7%)
	1024	97.7%	(5.2%)
	2048	92.5%	(22.8%)
	4096	69.7%	(41.9%)
	8192	27.8%	(27.8%)
678000	mean = 79477.1	max = 175324
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.4%)
	512	99.2%	(1.7%)
	1024	97.5%	(6.1%)
	2048	91.4%	(19.3%)
	4096	72.1%	(40.5%)
	8192	31.6%	(31.6%)
679000	mean = 76209.1	max = 174912
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.2%)
	256	99.6%	(0.4%)
	512	99.2%	(1.5%)
	1024	97.7%	(6.8%)
	2048	90.9%	(19.7%)
	4096	71.2%	(42.5%)
	8192	28.7%	(28.7%)
680000	mean = 78633	max = 177148
	32	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.6%)
	1024	98.1%	(5.2%)
	2048	92.9%	(18.9%)
	4096	74%	(44.5%)
	8192	29.5%	(29.5%)
681000	mean = 77941.8	max = 176424
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.3%)
	512	99.4%	(1%)
	1024	98.4%	(5%)
	2048	93.4%	(22.7%)
	4096	70.7%	(39.4%)
	8192	31.3%	(31.3%)
682000	mean = 77906.2	max = 174980
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2%)
	1024	97.6%	(5.9%)
	2048	91.7%	(20%)
	4096	71.7%	(41.7%)
	8192	30%	(30%)
683000	mean = 77400.5	max = 174848
	16	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.4%)
	256	99.4%	(0.4%)
	512	99%	(1.7%)
	1024	97.3%	(6.5%)
	2048	90.8%	(20.2%)
	4096	70.6%	(39.8%)
	8192	30.8%	(30.8%)
684000	mean = 80097.8	max = 178748
	128	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(1.4%)
	1024	98.2%	(6.4%)
	2048	91.8%	(19.3%)
	4096	72.5%	(39.6%)
	8192	32.9%	(32.9%)
685000	mean = 76004.3	max = 236496
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(1.4%)
	1024	98.1%	(6.4%)
	2048	91.7%	(22.8%)
	4096	68.9%	(39.9%)
	8192	29%	(28.9%)
	16384	0.1%	(0.1%)
686000	mean = 72843.7	max = 177980
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.8%)
	1024	97.9%	(7.2%)
	2048	90.7%	(24%)
	4096	66.7%	(39.9%)
	8192	26.8%	(26.8%)
687000	mean = 79193.1	max = 176172
	128	100%	(0.3%)
	256	99.7%	(0.2%)
	512	99.5%	(1.8%)
	1024	97.7%	(5.1%)
	2048	92.6%	(21%)
	4096	71.6%	(40.6%)
	8192	31%	(31%)
688000	mean = 78748.6	max = 174968
	128	100%	(0.2%)
	256	99.8%	(0.1%)
	512	99.7%	(2%)
	1024	97.7%	(5.9%)
	2048	91.8%	(18.8%)
	4096	73%	(42.1%)
	8192	30.9%	(30.9%)
689000	mean = 78051.6	max = 174604
	32	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.6%)
	1024	98%	(6.3%)
	2048	91.7%	(19.8%)
	4096	71.9%	(41.1%)
	8192	30.8%	(30.8%)
690000	mean = 80379	max = 226792
	64	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.8%)
	1024	97.9%	(5.7%)
	2048	92.2%	(20.6%)
	4096	71.6%	(38.8%)
	8192	32.8%	(32.7%)
	16384	0.1%	(0.1%)
691000	mean = 77711.1	max = 177580
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.8%)
	1024	97.7%	(5.3%)
	2048	92.4%	(21.6%)
	4096	70.8%	(39.9%)
	8192	30.9%	(30.9%)
692000	mean = 78366.9	max = 177700
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.3%)
	1024	98.2%	(6.6%)
	2048	91.6%	(19%)
	4096	72.6%	(41.9%)
	8192	30.7%	(30.7%)
693000	mean = 75651.1	max = 174816
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.4%)
	512	99.4%	(1.3%)
	1024	98.1%	(4.7%)
	2048	93.4%	(22.8%)
	4096	70.6%	(43.3%)
	8192	27.3%	(27.3%)
694000	mean = 79706.3	max = 176184
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(2.1%)
	1024	97.4%	(7.1%)
	2048	90.3%	(19.6%)
	4096	70.7%	(38.2%)
	8192	32.5%	(32.5%)
695000	mean = 76196.4	max = 174720
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(1.9%)
	1024	97.4%	(6.5%)
	2048	90.9%	(21.3%)
	4096	69.6%	(40.5%)
	8192	29.1%	(29.1%)
696000	mean = 79487.1	max = 176896
	128	100%	(0.1%)
	256	99.9%	(0.1%)
	512	99.8%	(0.6%)
	1024	99.2%	(5.9%)
	2048	93.3%	(21.1%)
	4096	72.2%	(38.9%)
	8192	33.3%	(33.3%)
697000	mean = 79427.3	max = 177060
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(1.2%)
	1024	98.1%	(5.6%)
	2048	92.5%	(19.9%)
	4096	72.6%	(41.4%)
	8192	31.2%	(31.2%)
698000	mean = 79493.3	max = 177000
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(1.4%)
	1024	97.9%	(5.3%)
	2048	92.6%	(19%)
	4096	73.6%	(42.8%)
	8192	30.8%	(30.8%)
699000	mean = 76504.9	max = 210628
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(0.9%)
	1024	98.3%	(6.2%)
	2048	92.1%	(23.1%)
	4096	69%	(39.3%)
	8192	29.7%	(29.6%)
	16384	0.1%	(0.1%)
700000	mean = 75419	max = 177380
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.3%)
	512	99.3%	(1.5%)
	1024	97.8%	(7%)
	2048	90.8%	(23%)
	4096	67.8%	(38.6%)
	8192	29.2%	(29.2%)
701000	mean = 76705.7	max = 174656
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.2%)
	512	99.6%	(1.8%)
	1024	97.8%	(6.1%)
	2048	91.7%	(20.9%)
	4096	70.8%	(41.4%)
	8192	29.4%	(29.4%)
702000	mean = 80850.6	max = 176396
	64	100%	(0.1%)
	512	99.9%	(1.8%)
	1024	98.1%	(4.9%)
	2048	93.2%	(21%)
	4096	72.2%	(38%)
	8192	34.2%	(34.2%)
703000	mean = 79019.9	max = 176720
	256	100%	(0.3%)
	512	99.7%	(1.9%)
	1024	97.8%	(5.6%)
	2048	92.2%	(20.3%)
	4096	71.9%	(40.8%)
	8192	31.1%	(31.1%)
704000	mean = 77816.8	max = 175448
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(1.6%)
	1024	97.9%	(6.4%)
	2048	91.5%	(19.7%)
	4096	71.8%	(42%)
	8192	29.8%	(29.8%)
705000	mean = 78638	max = 175588
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(2.2%)
	1024	97.1%	(5.6%)
	2048	91.5%	(20.1%)
	4096	71.4%	(39.1%)
	8192	32.3%	(32.3%)
706000	mean = 79288.7	max = 219844
	128	100%	(0.3%)
	256	99.7%	(0.5%)
	512	99.2%	(1.3%)
	1024	97.9%	(6%)
	2048	91.9%	(22.4%)
	4096	69.5%	(35.8%)
	8192	33.7%	(33.6%)
	16384	0.1%	(0.1%)
707000	mean = 78523.4	max = 187800
	256	100%	(0.2%)
	512	99.8%	(1.8%)
	1024	98%	(4.6%)
	2048	93.4%	(21.9%)
	4096	71.5%	(40.4%)
	8192	31.1%	(31.1%)
708000	mean = 79468.7	max = 220844
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.2%)
	512	99.4%	(1.4%)
	1024	98%	(5.2%)
	2048	92.8%	(18.6%)
	4096	74.2%	(43.1%)
	8192	31.1%	(31%)
	16384	0.1%	(0.1%)
709000	mean = 80555.8	max = 175640
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(1.5%)
	1024	97.8%	(5.5%)
	2048	92.3%	(19.9%)
	4096	72.4%	(38.9%)
	8192	33.5%	(33.5%)
710000	mean = 77539	max = 176252
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(1.7%)
	1024	97.6%	(7.5%)
	2048	90.1%	(19.2%)
	4096	70.9%	(41.2%)
	8192	29.7%	(29.7%)
711000	mean = 79690	max = 176400
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(1.7%)
	1024	97.8%	(7.2%)
	2048	90.6%	(20.3%)
	4096	70.3%	(36.5%)
	8192	33.8%	(33.8%)
712000	mean = 79274.6	max = 176980
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.2%)
	512	99.4%	(0.7%)
	1024	98.7%	(6.8%)
	2048	91.9%	(19.6%)
	4096	72.3%	(40.3%)
	8192	32%	(32%)
713000	mean = 78974.7	max = 174728
	128	100%	(0.2%)
	256	99.8%	(0.6%)
	512	99.2%	(1.9%)
	1024	97.3%	(6%)
	2048	91.3%	(20%)
	4096	71.3%	(39%)
	8192	32.3%	(32.3%)
714000	mean = 76128	max = 175288
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.4%)
	512	99.3%	(1.7%)
	1024	97.6%	(7.6%)
	2048	90%	(21.2%)
	4096	68.8%	(39%)
	8192	29.8%	(29.8%)
715000	mean = 76566	max = 235532
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(1.5%)
	1024	97.9%	(5.3%)
	2048	92.6%	(22.7%)
	4096	69.9%	(40.9%)
	8192	29%	(28.9%)
	16384	0.1%	(0.1%)
716000	mean = 76890.1	max = 175664
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.4%)
	512	99.3%	(1%)
	1024	98.3%	(6.5%)
	2048	91.8%	(21.1%)
	4096	70.7%	(40.9%)
	8192	29.8%	(29.8%)
717000	mean = 81417	max = 176272
	128	100%	(0.2%)
	256	99.8%	(0.8%)
	512	99%	(1.2%)
	1024	97.8%	(5.9%)
	2048	91.9%	(18.2%)
	4096	73.7%	(39.4%)
	8192	34.3%	(34.3%)
718000	mean = 77239.5	max = 175488
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.6%)
	1024	97.9%	(5.5%)
	2048	92.4%	(20.4%)
	4096	72%	(43%)
	8192	29%	(29%)
719000	mean = 78427.2	max = 174964
	256	100%	(0.8%)
	512	99.2%	(1.6%)
	1024	97.6%	(7.1%)
	2048	90.5%	(20%)
	4096	70.5%	(38.7%)
	8192	31.8%	(31.8%)
720000	mean = 79306.2	max = 175640
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.4%)
	512	99.2%	(1.1%)
	1024	98.1%	(5.5%)
	2048	92.6%	(21.8%)
	4096	70.8%	(38.9%)
	8192	31.9%	(31.9%)
721000	mean = 80385.9	max = 177224
	256	100%	(0.2%)
	512	99.8%	(1.2%)
	1024	98.6%	(6.5%)
	2048	92.1%	(18.6%)
	4096	73.5%	(40.4%)
	8192	33.1%	(33.1%)
722000	mean = 76029.3	max = 175584
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.2%)
	512	99.6%	(2.1%)
	1024	97.5%	(6.3%)
	2048	91.2%	(20.2%)
	4096	71%	(43.3%)
	8192	27.7%	(27.7%)
723000	mean = 77644.9	max = 176636
	128	100%	(0.2%)
	256	99.8%	(0.6%)
	512	99.2%	(1.6%)
	1024	97.6%	(5.6%)
	2048	92%	(22.3%)
	4096	69.7%	(39.9%)
	8192	29.8%	(29.8%)
724000	mean = 76623.4	max = 177104
	128	100%	(0.5%)
	256	99.5%	(0.6%)
	512	98.9%	(1.5%)
	1024	97.4%	(6.6%)
	2048	90.8%	(21.9%)
	4096	68.9%	(38.4%)
	8192	30.5%	(30.5%)
725000	mean = 78980.9	max = 177088
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.9%)
	1024	97.6%	(5.2%)
	2048	92.4%	(21.8%)
	4096	70.6%	(38.3%)
	8192	32.3%	(32.3%)
726000	mean = 80045.3	max = 177056
	128	100%	(0.1%)
	256	99.9%	(0.9%)
	512	99%	(1.4%)
	1024	97.6%	(5.7%)
	2048	91.9%	(19.6%)
	4096	72.3%	(38.3%)
	8192	34%	(34%)
727000	mean = 78824.4	max = 176568
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(2.2%)
	1024	97.1%	(5.2%)
	2048	91.9%	(21.4%)
	4096	70.5%	(37.8%)
	8192	32.7%	(32.7%)
728000	mean = 80343	max = 177176
	512	100%	(1.5%)
	1024	98.5%	(5%)
	2048	93.5%	(18.9%)
	4096	74.6%	(42.6%)
	8192	32%	(32%)
729000	mean = 76056	max = 176564
	128	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(1.9%)
	1024	97.4%	(5.9%)
	2048	91.5%	(20.6%)
	4096	70.9%	(42.7%)
	8192	28.2%	(28.2%)
730000	mean = 79868.4	max = 221756
	128	100%	(0.4%)
	256	99.6%	(0.6%)
	512	99%	(1.4%)
	1024	97.6%	(6.6%)
	2048	91%	(19.8%)
	4096	71.2%	(37.4%)
	8192	33.8%	(33.7%)
	16384	0.1%	(0.1%)
731000	mean = 79460.8	max = 176708
	128	100%	(0.3%)
	256	99.7%	(0.2%)
	512	99.5%	(1.1%)
	1024	98.4%	(5.5%)
	2048	92.9%	(21.9%)
	4096	71%	(38.9%)
	8192	32.1%	(32.1%)
732000	mean = 79940.6	max = 177360
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.1%)
	512	99.5%	(1.9%)
	1024	97.6%	(6.5%)
	2048	91.1%	(20%)
	4096	71.1%	(38.3%)
	8192	32.8%	(32.8%)
733000	mean = 79494.7	max = 175104
	64	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.7%)
	1024	97.9%	(5.5%)
	2048	92.4%	(19.4%)
	4096	73%	(40.9%)
	8192	32.1%	(32.1%)
734000	mean = 78230.4	max = 175668
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1%)
	1024	98.5%	(6.3%)
	2048	92.2%	(20.9%)
	4096	71.3%	(41.2%)
	8192	30.1%	(30.1%)
735000	mean = 78290.6	max = 176480
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.4%)
	512	99.3%	(1.8%)
	1024	97.5%	(4.8%)
	2048	92.7%	(22.3%)
	4096	70.4%	(39.7%)
	8192	30.7%	(30.7%)
736000	mean = 80611.1	max = 177240
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.4%)
	1024	98.3%	(4.7%)
	2048	93.6%	(20.7%)
	4096	72.9%	(39.8%)
	8192	33.1%	(33.1%)
737000	mean = 73926.7	max = 176576
	128	100%	(0.3%)
	256	99.7%	(0.6%)
	512	99.1%	(1.5%)
	1024	97.6%	(5.8%)
	2048	91.8%	(23.9%)
	4096	67.9%	(40.5%)
	8192	27.4%	(27.4%)
738000	mean = 78235.9	max = 177016
	64	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(1.8%)
	1024	97.8%	(5.6%)
	2048	92.2%	(20.3%)
	4096	71.9%	(41.2%)
	8192	30.7%	(30.7%)
739000	mean = 78983.6	max = 174468
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.3%)
	1024	98.2%	(5.6%)
	2048	92.6%	(19.3%)
	4096	73.3%	(43%)
	8192	30.3%	(30.3%)
740000	mean = 79387.6	max = 175112
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	512	99.7%	(1.3%)
	1024	98.4%	(5.9%)
	2048	92.5%	(20.1%)
	4096	72.4%	(40.2%)
	8192	32.2%	(32.2%)
741000	mean = 79243.1	max = 260732
	256	100%	(0.5%)
	512	99.5%	(1.5%)
	1024	98%	(7.3%)
	2048	90.7%	(18.9%)
	4096	71.8%	(40.2%)
	8192	31.6%	(31.5%)
	16384	0.1%	(0.1%)
742000	mean = 77347.2	max = 176216
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2.4%)
	1024	97.2%	(7.1%)
	2048	90.1%	(18.9%)
	4096	71.2%	(41.5%)
	8192	29.7%	(29.7%)
743000	mean = 77375.5	max = 177288
	128	100%	(0.3%)
	256	99.7%	(0.3%)
	512	99.4%	(2%)
	1024	97.4%	(5%)
	2048	92.4%	(22%)
	4096	70.4%	(41.2%)
	8192	29.2%	(29.2%)
744000	mean = 77907.6	max = 176392
	32	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.7%)
	512	99%	(1%)
	1024	98%	(6.4%)
	2048	91.6%	(22.4%)
	4096	69.2%	(38.2%)
	8192	31%	(31%)
745000	mean = 79147.2	max = 234944
	256	100%	(0.2%)
	512	99.8%	(1.4%)
	1024	98.4%	(6.3%)
	2048	92.1%	(18.9%)
	4096	73.2%	(43.7%)
	8192	29.5%	(29.2%)
	16384	0.3%	(0.3%)
746000	mean = 77189.5	max = 233392
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.3%)
	512	99.4%	(0.8%)
	1024	98.6%	(6.1%)
	2048	92.5%	(23.7%)
	4096	68.8%	(37.9%)
	8192	30.9%	(30.8%)
	16384	0.1%	(0.1%)
747000	mean = 75392.7	max = 173804
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.3%)
	1024	98.2%	(7%)
	2048	91.2%	(22.6%)
	4096	68.6%	(39.6%)
	8192	29%	(29%)
748000	mean = 77600	max = 226416
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.4%)
	512	99.3%	(2%)
	1024	97.3%	(5.1%)
	2048	92.2%	(20.2%)
	4096	72%	(40.9%)
	8192	31.1%	(31%)
	16384	0.1%	(0.1%)
749000	mean = 78466	max = 176304
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	512	99.7%	(1.4%)
	1024	98.3%	(4.4%)
	2048	93.9%	(21.1%)
	4096	72.8%	(42.6%)
	8192	30.2%	(30.2%)
750000	mean = 78035.3	max = 184464
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.2%)
	512	99.6%	(1.9%)
	1024	97.7%	(6.9%)
	2048	90.8%	(20.7%)
	4096	70.1%	(38.4%)
	8192	31.7%	(31.7%)
751000	mean = 78555.5	max = 176880
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.3%)
	512	99.3%	(1.8%)
	1024	97.5%	(6%)
	2048	91.5%	(19.5%)
	4096	72%	(41.1%)
	8192	30.9%	(30.9%)
752000	mean = 78153.7	max = 176316
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(1.5%)
	1024	98%	(5.4%)
	2048	92.6%	(22.1%)
	4096	70.5%	(40.1%)
	8192	30.4%	(30.4%)
753000	mean = 73327.1	max = 235856
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(3%)
	1024	96.5%	(7.4%)
	2048	89.1%	(22.1%)
	4096	67%	(39.5%)
	8192	27.5%	(27.4%)
	16384	0.1%	(0.1%)
754000	mean = 79480.7	max = 175212
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(2%)
	1024	97.5%	(6.1%)
	2048	91.4%	(19.6%)
	4096	71.8%	(40%)
	8192	31.8%	(31.8%)
755000	mean = 76893.7	max = 174940
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(1.7%)
	1024	97.7%	(6.1%)
	2048	91.6%	(20.3%)
	4096	71.3%	(42.6%)
	8192	28.7%	(28.7%)
756000	mean = 77382.3	max = 175456
	128	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(1.8%)
	1024	97.4%	(5.4%)
	2048	92%	(21.1%)
	4096	70.9%	(40.4%)
	8192	30.5%	(30.5%)
757000	mean = 79367.6	max = 219812
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.4%)
	512	99.4%	(0.7%)
	1024	98.7%	(6.3%)
	2048	92.4%	(20.7%)
	4096	71.7%	(40.1%)
	8192	31.6%	(31.5%)
	16384	0.1%	(0.1%)
758000	mean = 77254.8	max = 174656
	256	100%	(0.5%)
	512	99.5%	(1.3%)
	1024	98.2%	(5.3%)
	2048	92.9%	(23%)
	4096	69.9%	(39.9%)
	8192	30%	(30%)
759000	mean = 76472.6	max = 183264
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.6%)
	1024	98%	(5.9%)
	2048	92.1%	(23%)
	4096	69.1%	(40.3%)
	8192	28.8%	(28.8%)
760000	mean = 79292.3	max = 176520
	128	100%	(0.1%)
	256	99.9%	(0.1%)
	512	99.8%	(2%)
	1024	97.8%	(6.7%)
	2048	91.1%	(19.4%)
	4096	71.7%	(40.5%)
	8192	31.2%	(31.2%)
761000	mean = 74353.8	max = 177028
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.3%)
	512	99.4%	(1.6%)
	1024	97.8%	(7.2%)
	2048	90.6%	(21.1%)
	4096	69.5%	(42.9%)
	8192	26.6%	(26.6%)
762000	mean = 80657.3	max = 176536
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(0.9%)
	1024	98.6%	(6.5%)
	2048	92.1%	(20.7%)
	4096	71.4%	(37.3%)
	8192	34.1%	(34.1%)
763000	mean = 74598.5	max = 176712
	128	100%	(0.5%)
	256	99.5%	(0.6%)
	512	98.9%	(1.4%)
	1024	97.5%	(7%)
	2048	90.5%	(21.9%)
	4096	68.6%	(40.6%)
	8192	28%	(28%)
764000	mean = 77751.6	max = 176912
	128	100%	(0.2%)
	256	99.8%	(0.1%)
	512	99.7%	(1.7%)
	1024	98%	(7.4%)
	2048	90.6%	(19.9%)
	4096	70.7%	(40.8%)
	8192	29.9%	(29.9%)
765000	mean = 80997.3	max = 174804
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(0.3%)
	512	99.1%	(1.2%)
	1024	97.9%	(5.6%)
	2048	92.3%	(18.7%)
	4096	73.6%	(39.6%)
	8192	34%	(34%)
766000	mean = 79971.1	max = 184416
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.2%)
	1024	98.5%	(4.8%)
	2048	93.7%	(21.2%)
	4096	72.5%	(41.3%)
	8192	31.2%	(31.2%)
767000	mean = 80256.1	max = 176380
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(1.3%)
	1024	98.2%	(5%)
	2048	93.2%	(20.5%)
	4096	72.7%	(40.2%)
	8192	32.5%	(32.5%)
768000	mean = 80199.2	max = 216592
	128	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(1.6%)
	1024	97.7%	(4.9%)
	2048	92.8%	(19.8%)
	4096	73%	(41.1%)
	8192	31.9%	(31.8%)
	16384	0.1%	(0.1%)
769000	mean = 80551.2	max = 176440
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.3%)
	512	99.3%	(1.6%)
	1024	97.7%	(5.2%)
	2048	92.5%	(20.5%)
	4096	72%	(38.6%)
	8192	33.4%	(33.4%)
770000	mean = 80748	max = 175600
	32	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.8%)
