<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 4191459678
	128	99.9%	(0.8%)
	256	99.1%	(3%)
	512	96.1%	(10.1%)
	1024	86%	(22.6%)
	2048	63.4%	(45%)
	4096	18.4%	(18.3%)
	8192	0.1%	(0.1%)
721000	mean = 29127.7	max = 80504
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(4.1%)
	512	95.5%	(9.5%)
	1024	86%	(22.1%)
	2048	63.9%	(46.2%)
	4096	17.7%	(17.7%)
722000	mean = 29235.3	max = 80660
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.2%)
	256	99.6%	(3.3%)
	512	96.3%	(9.1%)
	1024	87.2%	(21.8%)
	2048	65.4%	(49%)
	4096	16.4%	(16.4%)
723000	mean = 29704.2	max = 80528
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.1%)
	512	95.4%	(8.5%)
	1024	86.9%	(22.9%)
	2048	64%	(44.6%)
	4096	19.4%	(19.4%)
724000	mean = 28813.1	max = 81224
	128	100%	(0.4%)
	256	99.6%	(3.4%)
	512	96.2%	(10.6%)
	1024	85.6%	(22.5%)
	2048	63.1%	(47%)
	4096	16.1%	(16.1%)
725000	mean = 29660.2	max = 81004
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.7%)
	256	99.1%	(2.7%)
	512	96.4%	(9.4%)
	1024	87%	(21.9%)
	2048	65.1%	(46.1%)
	4096	19%	(19%)
726000	mean = 30319.1	max = 103964
	64	100%	(0.1%)
	128	99.9%	(1.1%)
	256	98.8%	(3.2%)
	512	95.6%	(9.9%)
	1024	85.7%	(20.8%)
	2048	64.9%	(44.5%)
	4096	20.4%	(20.3%)
	8192	0.1%	(0.1%)
727000	mean = 28944.6	max = 80312
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(3.8%)
	512	95.5%	(10%)
	1024	85.5%	(24.1%)
	2048	61.4%	(43.3%)
	4096	18.1%	(18.1%)
728000	mean = 29752.1	max = 121240
	128	100%	(0.9%)
	256	99.1%	(4.1%)
	512	95%	(9.3%)
	1024	85.7%	(21.6%)
	2048	64.1%	(45.1%)
	4096	19%	(18.9%)
	8192	0.1%	(0.1%)
729000	mean = 29739.3	max = 80516
	128	100%	(0.6%)
	256	99.4%	(3.4%)
	512	96%	(9.9%)
	1024	86.1%	(22.1%)
	2048	64%	(45%)
	4096	19%	(19%)
730000	mean = 28580.1	max = 78496
	64	100%	(0.2%)
	128	99.8%	(0.8%)
	256	99%	(3.7%)
	512	95.3%	(11.4%)
	1024	83.9%	(22.6%)
	2048	61.3%	(43.1%)
	4096	18.2%	(18.2%)
731000	mean = 29147.3	max = 87484
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(4.5%)
	512	95%	(11.1%)
	1024	83.9%	(21.8%)
	2048	62.1%	(42.9%)
	4096	19.2%	(19.2%)
732000	mean = 29952.3	max = 79744
	128	100%	(0.6%)
	256	99.4%	(3.9%)
	512	95.5%	(9.3%)
	1024	86.2%	(22%)
	2048	64.2%	(44.4%)
	4096	19.8%	(19.8%)
733000	mean = 30296.7	max = 88136
	64	100%	(0.3%)
	128	99.7%	(0.3%)
	256	99.4%	(4%)
	512	95.4%	(9.6%)
	1024	85.8%	(21.2%)
	2048	64.6%	(43.9%)
	4096	20.7%	(20.7%)
734000	mean = 29010.8	max = 80748
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.2%)
	512	95.2%	(11.8%)
	1024	83.4%	(20.7%)
	2048	62.7%	(45.5%)
	4096	17.2%	(17.2%)
735000	mean = 28810.1	max = 80124
	128	100%	(0.6%)
	256	99.4%	(3.9%)
	512	95.5%	(11.6%)
	1024	83.9%	(22.5%)
	2048	61.4%	(43.7%)
	4096	17.7%	(17.7%)
736000	mean = 30340.4	max = 80332
	64	100%	(0.1%)
	128	99.9%	(1%)
	256	98.9%	(3.1%)
	512	95.8%	(8.3%)
	1024	87.5%	(21%)
	2048	66.5%	(45.9%)
	4096	20.6%	(20.6%)
737000	mean = 30189	max = 80976
	64	100%	(0.3%)
	128	99.7%	(0.3%)
	256	99.4%	(4.3%)
	512	95.1%	(9.5%)
	1024	85.6%	(21.4%)
	2048	64.2%	(43.6%)
	4096	20.6%	(20.6%)
738000	mean = 29994.6	max = 80572
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(4%)
	512	95.4%	(9.1%)
	1024	86.3%	(20.6%)
	2048	65.7%	(46.7%)
	4096	19%	(19%)
739000	mean = 29594.5	max = 80192
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(3.4%)
	512	95.9%	(9.4%)
	1024	86.5%	(24%)
	2048	62.5%	(42.9%)
	4096	19.6%	(19.6%)
740000	mean = 29457.4	max = 80412
	128	100%	(0.7%)
	256	99.3%	(3.5%)
	512	95.8%	(10.7%)
	1024	85.1%	(20.8%)
	2048	64.3%	(45.2%)
	4096	19.1%	(19.1%)
741000	mean = 29392.4	max = 80456
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.9%)
	512	95.4%	(9.6%)
	1024	85.8%	(22%)
	2048	63.8%	(46.1%)
	4096	17.7%	(17.7%)
742000	mean = 28766.9	max = 106384
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(5.3%)
	512	93.9%	(10.1%)
	1024	83.8%	(20.5%)
	2048	63.3%	(46%)
	4096	17.3%	(17.2%)
	8192	0.1%	(0.1%)
743000	mean = 28410.1	max = 106952
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(4.2%)
	512	94.9%	(10.8%)
	1024	84.1%	(21.8%)
	2048	62.3%	(45.2%)
	4096	17.1%	(17%)
	8192	0.1%	(0.1%)
744000	mean = 29003.5	max = 101240
	128	100%	(0.5%)
	256	99.5%	(4.5%)
	512	95%	(10.2%)
	1024	84.8%	(22.7%)
	2048	62.1%	(44.7%)
	4096	17.4%	(17.3%)
	8192	0.1%	(0.1%)
745000	mean = 30203.2	max = 81168
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.6%)
	512	95.9%	(8.5%)
	1024	87.4%	(22.2%)
	2048	65.2%	(45.1%)
	4096	20.1%	(20.1%)
746000	mean = 29263.9	max = 87440
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(4.1%)
	512	95.1%	(10.1%)
	1024	85%	(23.1%)
	2048	61.9%	(42.8%)
	4096	19.1%	(19.1%)
747000	mean = 28962.1	max = 103336
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(4.8%)
	512	94.3%	(10.1%)
	1024	84.2%	(22.5%)
	2048	61.7%	(43.3%)
	4096	18.4%	(18.3%)
	8192	0.1%	(0.1%)
748000	mean = 29507	max = 80844
	128	100%	(0.6%)
	256	99.4%	(3.2%)
	512	96.2%	(10.8%)
	1024	85.4%	(22.4%)
	2048	63%	(43.3%)
	4096	19.7%	(19.7%)
749000	mean = 29445.6	max = 80468
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(4.7%)
	512	95.1%	(10.1%)
	1024	85%	(21.7%)
	2048	63.3%	(45%)
	4096	18.3%	(18.3%)
750000	mean = 30198.9	max = 80636
	128	100%	(0.4%)
	256	99.6%	(4.4%)
	512	95.2%	(9.4%)
	1024	85.8%	(20.9%)
	2048	64.9%	(44.2%)
	4096	20.7%	(20.7%)
751000	mean = 30222.6	max = 88036
	64	100%	(0.2%)
	128	99.8%	(0.9%)
	256	98.9%	(3.1%)
	512	95.8%	(10.5%)
	1024	85.3%	(20.3%)
	2048	65%	(44.3%)
	4096	20.7%	(20.7%)
752000	mean = 30111.9	max = 80504
	128	100%	(0.5%)
	256	99.5%	(3.8%)
	512	95.7%	(8.4%)
	1024	87.3%	(23.5%)
	2048	63.8%	(44%)
	4096	19.8%	(19.8%)
753000	mean = 29089.9	max = 85584
	128	100%	(0.7%)
	256	99.3%	(5.3%)
	512	94%	(10.4%)
	1024	83.6%	(20.2%)
	2048	63.4%	(45.2%)
	4096	18.2%	(18.2%)
754000	mean = 29132.3	max = 80480
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(5.2%)
	512	93.9%	(9.4%)
	1024	84.5%	(21.4%)
	2048	63.1%	(45%)
	4096	18.1%	(18.1%)
755000	mean = 29338	max = 83612
	128	100%	(0.6%)
	256	99.4%	(4.3%)
	512	95.1%	(8.9%)
	1024	86.2%	(22.4%)
	2048	63.8%	(45.7%)
	4096	18.1%	(18.1%)
756000	mean = 30602.7	max = 80820
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(3.4%)
	512	95.9%	(9.5%)
	1024	86.4%	(21.2%)
	2048	65.2%	(43.6%)
	4096	21.6%	(21.6%)
757000	mean = 29855.5	max = 81692
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(3.6%)
	512	95.9%	(8.6%)
	1024	87.3%	(22.2%)
	2048	65.1%	(45.9%)
	4096	19.2%	(19.2%)
758000	mean = 29693.4	max = 82388
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(3.9%)
	512	95.3%	(9.8%)
	1024	85.5%	(22.9%)
	2048	62.6%	(42.7%)
	4096	19.9%	(19.9%)
759000	mean = 30431.1	max = 80864
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(4.4%)
	512	95.2%	(10.2%)
	1024	85%	(18.3%)
	2048	66.7%	(45.9%)
	4096	20.8%	(20.8%)
760000	mean = 29534.2	max = 83556
	128	100%	(1.4%)
	256	98.6%	(4.1%)
	512	94.5%	(9.1%)
	1024	85.4%	(22%)
	2048	63.4%	(45%)
	4096	18.4%	(18.4%)
761000	mean = 30043.9	max = 81028
	128	100%	(0.5%)
	256	99.5%	(4.1%)
	512	95.4%	(9.6%)
	1024	85.8%	(21.6%)
	2048	64.2%	(44.4%)
	4096	19.8%	(19.8%)
762000	mean = 29263.9	max = 103908
	128	100%	(0.9%)
	256	99.1%	(4.5%)
	512	94.6%	(11%)
	1024	83.6%	(20.3%)
	2048	63.3%	(45.1%)
	4096	18.2%	(18.1%)
	8192	0.1%	(0.1%)
763000	mean = 28753.9	max = 83716
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(4.9%)
	512	94.2%	(10.3%)
	1024	83.9%	(22.7%)
	2048	61.2%	(42.4%)
	4096	18.8%	(18.8%)
764000	mean = 30203.7	max = 106488
	64	100%	(0.3%)
	128	99.7%	(0.6%)
	256	99.1%	(3.6%)
	512	95.5%	(9.6%)
	1024	85.9%	(22.1%)
	2048	63.8%	(43.1%)
	4096	20.7%	(20.6%)
	8192	0.1%	(0.1%)
765000	mean = 30130.5	max = 87004
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.3%)
	256	99.5%	(3.5%)
	512	96%	(9.6%)
	1024	86.4%	(21.8%)
	2048	64.6%	(45.1%)
	4096	19.5%	(19.5%)
766000	mean = 28983.5	max = 80276
	64	100%	(0.3%)
	128	99.7%	(0.4%)
	256	99.3%	(3.4%)
	512	95.9%	(10.5%)
	1024	85.4%	(22.5%)
	2048	62.9%	(44.4%)
	4096	18.5%	(18.5%)
767000	mean = 29339.1	max = 80736
	128	100%	(0.6%)
	256	99.4%	(4.2%)
	512	95.2%	(9.2%)
	1024	86%	(22.6%)
	2048	63.4%	(44.9%)
	4096	18.5%	(18.5%)
768000	mean = 29359	max = 79200
	128	100%	(0.5%)
	256	99.5%	(3.3%)
	512	96.2%	(8.8%)
	1024	87.4%	(24.5%)
	2048	62.9%	(45%)
	4096	17.9%	(17.9%)
769000	mean = 30455.8	max = 85168
	16	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(3.4%)
	512	95.6%	(9.2%)
	1024	86.4%	(21.3%)
	2048	65.1%	(44.2%)
	4096	20.9%	(20.9%)
770000	mean = 30110.2	max = 80708
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(3.4%)
	512	96.4%	(10.3%)
	1024	86.1%	(21.7%)
	2048	64.4%	(44.9%)
	4096	19.5%	(19.5%)
771000	mean = 28840.6	max = 81900
	128	100%	(0.9%)
	256	99.1%	(3.1%)
	512	96%	(10.4%)
	1024	85.6%	(23%)
	2048	62.6%	(45.1%)
	4096	17.5%	(17.5%)
772000	mean = 29909.4	max = 114276
	128	100%	(0.7%)
	256	99.3%	(3.9%)
	512	95.4%	(9.8%)
	1024	85.6%	(22.3%)
	2048	63.3%	(43.5%)
	4096	19.8%	(19.7%)
	8192	0.1%	(0.1%)
773000	mean = 29843.9	max = 118512
	64	100%	(0.2%)
	128	99.8%	(0.8%)
	256	99%	(4.5%)
	512	94.5%	(8.9%)
	1024	85.6%	(21.7%)
	2048	63.9%	(44.2%)
	4096	19.7%	(19.6%)
	8192	0.1%	(0.1%)
774000	mean = 30167.8	max = 81856
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(4.1%)
	512	95.1%	(8.1%)
	1024	87%	(21.8%)
	2048	65.2%	(45.9%)
	4096	19.3%	(19.3%)
775000	mean = 29747.8	max = 83020
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(3.2%)
	512	96%	(10.6%)
	1024	85.4%	(21.1%)
	2048	64.3%	(45.3%)
	4096	19%	(19%)
776000	mean = 30488.8	max = 111940
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(3.5%)
	512	95.8%	(10.1%)
	1024	85.7%	(21.5%)
	2048	64.2%	(42.8%)
	4096	21.4%	(21.3%)
	8192	0.1%	(0.1%)
777000	mean = 30418.4	max = 89520
	128	100%	(0.8%)
	256	99.2%	(4.9%)
	512	94.3%	(9.4%)
	1024	84.9%	(20.3%)
	2048	64.6%	(43.4%)
	4096	21.2%	(21.2%)
778000	mean = 29605	max = 80544
	128	100%	(0.5%)
	256	99.5%	(3.2%)
	512	96.3%	(10.1%)
	1024	86.2%	(21.4%)
	2048	64.8%	(46.3%)
	4096	18.5%	(18.5%)
779000	mean = 30763	max = 80576
	128	100%	(0.3%)
	256	99.7%	(3.6%)
	512	96.1%	(9%)
	1024	87.1%	(20.2%)
	2048	66.9%	(46.2%)
	4096	20.7%	(20.7%)
780000	mean = 30426.8	max = 79888
	128	100%	(0.4%)
	256	99.6%	(4.1%)
	512	95.5%	(9%)
	1024	86.5%	(21.8%)
	2048	64.7%	(43.6%)
	4096	21.1%	(21.1%)
781000	mean = 29546.8	max = 96264
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.1%)
	512	95.3%	(9.7%)
	1024	85.6%	(20.6%)
	2048	65%	(47.1%)
	4096	17.9%	(17.9%)
782000	mean = 29939.2	max = 102608
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(3.1%)
	512	96.2%	(9.5%)
	1024	86.7%	(22.4%)
	2048	64.3%	(44.5%)
	4096	19.8%	(19.7%)
	8192	0.1%	(0.1%)
783000	mean = 31324	max = 107792
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(3.4%)
	512	96%	(8.4%)
	1024	87.6%	(20.9%)
	2048	66.7%	(44.7%)
	4096	22%	(21.9%)
	8192	0.1%	(0.1%)
784000	mean = 30067.5	max = 80596
	128	100%	(0.8%)
	256	99.2%	(3.3%)
	512	95.9%	(10.5%)
	1024	85.4%	(22.1%)
	2048	63.3%	(43.1%)
	4096	20.2%	(20.2%)
785000	mean = 29702.3	max = 80052
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.2%)
	512	95.2%	(9.9%)
	1024	85.3%	(21.6%)
	2048	63.7%	(44%)
	4096	19.7%	(19.7%)
786000	mean = 30050.1	max = 80540
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(4.5%)
	512	94.9%	(9.3%)
	1024	85.6%	(22.5%)
	2048	63.1%	(42.5%)
	4096	20.6%	(20.6%)
787000	mean = 29414.2	max = 80568
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(4.3%)
	512	95%	(10.2%)
	1024	84.8%	(21.2%)
	2048	63.6%	(43.5%)
	4096	20.1%	(20.1%)
788000	mean = 29600.8	max = 80312
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.8%)
	512	94.5%	(10.1%)
	1024	84.4%	(21%)
	2048	63.4%	(43.5%)
	4096	19.9%	(19.9%)
789000	mean = 30329.9	max = 86832
	128	100%	(0.5%)
	256	99.5%	(3.8%)
	512	95.7%	(7.8%)
	1024	87.9%	(22.6%)
	2048	65.3%	(45.5%)
	4096	19.8%	(19.8%)
790000	mean = 29936.6	max = 83644
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(3.6%)
	512	95.8%	(8.6%)
	1024	87.2%	(22.5%)
	2048	64.7%	(45.9%)
	4096	18.8%	(18.8%)
791000	mean = 30028.9	max = 80620
	128	100%	(0.6%)
	256	99.4%	(2.7%)
	512	96.7%	(9.6%)
	1024	87.1%	(21.8%)
	2048	65.3%	(45.9%)
	4096	19.4%	(19.4%)
792000	mean = 30236.6	max = 81248
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.6%)
	256	99.1%	(3%)
	512	96.1%	(10.7%)
	1024	85.4%	(21.5%)
	2048	63.9%	(43.7%)
	4096	20.2%	(20.2%)
793000	mean = 30259.6	max = 89996
	128	100%	(0.7%)
	256	99.3%	(3.2%)
	512	96.1%	(9.2%)
	1024	86.9%	(22.4%)
	2048	64.5%	(44.6%)
	4096	19.9%	(19.9%)
794000	mean = 30005.1	max = 84176
	128	100%	(0.6%)
	256	99.4%	(4.2%)
	512	95.2%	(8.1%)
	1024	87.1%	(20.3%)
	2048	66.8%	(47.4%)
	4096	19.4%	(19.4%)
795000	mean = 30044.6	max = 84692
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.9%)
	512	95.6%	(10.2%)
	1024	85.4%	(22.4%)
	2048	63%	(43%)
	4096	20%	(20%)
796000	mean = 30345.1	max = 81452
	64	100%	(0.3%)
	128	99.7%	(0.9%)
	256	98.8%	(2.5%)
	512	96.3%	(9.1%)
	1024	87.2%	(22.2%)
	2048	65%	(44.2%)
	4096	20.8%	(20.8%)
797000	mean = 29891.3	max = 80288
	128	100%	(0.8%)
	256	99.2%	(3.2%)
	512	96%	(10.9%)
	1024	85.1%	(23%)
	2048	62.1%	(42.3%)
	4096	19.8%	(19.8%)
798000	mean = 30421.1	max = 80724
	128	100%	(0.8%)
	256	99.2%	(4.3%)
	512	94.9%	(8%)
	1024	86.9%	(21.1%)
	2048	65.8%	(45.2%)
	4096	20.6%	(20.6%)
799000	mean = 28791.6	max = 79888
	128	100%	(0.6%)
	256	99.4%	(4.1%)
	512	95.3%	(9.7%)
	1024	85.6%	(24%)
	2048	61.6%	(44.2%)
	4096	17.4%	(17.4%)
800000	mean = 29889.2	max = 80504
	128	100%	(0.8%)
	256	99.2%	(3.9%)
	512	95.3%	(7.8%)
	1024	87.5%	(23.4%)
	2048	64.1%	(45%)
	4096	19.1%	(19.1%)
801000	mean = 30627.1	max = 79704
	128	100%	(0.7%)
	256	99.3%	(3.7%)
	512	95.6%	(10.2%)
	1024	85.4%	(18.8%)
	2048	66.6%	(46%)
	4096	20.6%	(20.6%)
802000	mean = 31189.9	max = 81680
	128	100%	(0.5%)
	256	99.5%	(3.5%)
	512	96%	(9.3%)
	1024	86.7%	(21.6%)
	2048	65.1%	(41.6%)
	4096	23.5%	(23.5%)
803000	mean = 31495.2	max = 85880
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(3%)
	512	96.6%	(7.8%)
	1024	88.8%	(20.9%)
	2048	67.9%	(45.3%)
	4096	22.6%	(22.6%)
804000	mean = 29344.2	max = 81936
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(4%)
	512	95.1%	(11.5%)
	1024	83.6%	(21.4%)
	2048	62.2%	(42.8%)
	4096	19.4%	(19.4%)
805000	mean = 29445	max = 80476
	128	100%	(0.4%)
	256	99.6%	(4.2%)
	512	95.4%	(11.5%)
	1024	83.9%	(19.9%)
	2048	64%	(44.6%)
	4096	19.4%	(19.4%)
806000	mean = 30224.1	max = 80548
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(3.8%)
	512	95.3%	(10.4%)
	1024	84.9%	(22.1%)
	2048	62.8%	(41.8%)
	4096	21%	(21%)
807000	mean = 28575.9	max = 80508
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(3.9%)
	512	95.6%	(9.7%)
	1024	85.9%	(25.6%)
	2048	60.3%	(43.2%)
	4096	17.1%	(17.1%)
808000	mean = 29898.1	max = 80696
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(3.9%)
	512	95.5%	(11%)
	1024	84.5%	(21.3%)
	2048	63.2%	(43.4%)
	4096	19.8%	(19.8%)
809000	mean = 30658.3	max = 112988
	128	100%	(0.5%)
	256	99.5%	(3.9%)
	512	95.6%	(9.4%)
	1024	86.2%	(21.1%)
	2048	65.1%	(43.6%)
	4096	21.5%	(21.4%)
	8192	0.1%	(0.1%)
810000	mean = 30617.9	max = 79836
	128	100%	(0.6%)
	256	99.4%	(4.2%)
	512	95.2%	(9.3%)
	1024	85.9%	(20%)
	2048	65.9%	(44.7%)
	4096	21.2%	(21.2%)
811000	mean = 30491	max = 81064
	128	100%	(0.5%)
	256	99.5%	(3.9%)
	512	95.6%	(8.6%)
	1024	87%	(22.1%)
	2048	64.9%	(44.2%)
	4096	20.7%	(20.7%)
812000	mean = 30707	max = 80404
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.8%)
	512	95.5%	(9.5%)
	1024	86%	(19.9%)
	2048	66.1%	(45%)
	4096	21.1%	(21.1%)
813000	mean = 30125.3	max = 80596
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(4.5%)
	512	94.9%	(9.9%)
	1024	85%	(21.4%)
	2048	63.6%	(42.7%)
	4096	20.9%	(20.9%)
814000	mean = 30280.4	max = 107516
	64	100%	(0.3%)
	128	99.7%	(0.3%)
	256	99.4%	(4.5%)
	512	94.9%	(8.4%)
	1024	86.5%	(21.9%)
	2048	64.6%	(43.9%)
	4096	20.7%	(20.6%)
	8192	0.1%	(0.1%)
815000	mean = 31198.4	max = 86996
	128	100%	(0.2%)
	256	99.8%	(3.5%)
	512	96.3%	(9.5%)
	1024	86.8%	(21.2%)
	2048	65.6%	(42.5%)
	4096	23.1%	(23.1%)
816000	mean = 29441.6	max = 79040
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(5.1%)
	512	94.2%	(10.8%)
	1024	83.4%	(21.9%)
	2048	61.5%	(41.5%)
	4096	20%	(20%)
817000	mean = 29730.9	max = 87444
	128	100%	(0.7%)
	256	99.3%	(3.3%)
	512	96%	(10.3%)
	1024	85.7%	(23.1%)
	2048	62.6%	(42.8%)
	4096	19.8%	(19.8%)
818000	mean = 29962.8	max = 80408
	64	100%	(0.1%)
	128	99.9%	(1.1%)
	256	98.8%	(3.3%)
	512	95.5%	(9.9%)
	1024	85.6%	(22%)
	2048	63.6%	(43.5%)
	4096	20.1%	(20.1%)
819000	mean = 29821.5	max = 87708
	128	100%	(0.4%)
	256	99.6%	(4.2%)
	512	95.4%	(9.1%)
	1024	86.3%	(21.9%)
	2048	64.4%	(44.1%)
	4096	20.3%	(20.3%)
820000	mean = 30399.6	max = 113012
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.5%)
	512	95.8%	(8.4%)
	1024	87.4%	(23.9%)
	2048	63.5%	(42.9%)
	4096	20.6%	(20.5%)
	8192	0.1%	(0.1%)
821000	mean = 30494.3	max = 113208
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(3.3%)
	512	95.8%	(9.2%)
	1024	86.6%	(21.2%)
	2048	65.4%	(45.4%)
	4096	20%	(19.9%)
	8192	0.1%	(0.1%)
822000	mean = 30947	max = 105580
	64	100%	(0.1%)
	256	99.9%	(3.6%)
	512	96.3%	(9%)
	1024	87.3%	(19.5%)
	2048	67.8%	(47.1%)
	4096	20.7%	(20.6%)
	8192	0.1%	(0.1%)
823000	mean = 30316	max = 120072
	64	100%	(0.3%)
	128	99.7%	(0.5%)
	256	99.2%	(4.5%)
	512	94.7%	(9.5%)
	1024	85.2%	(21.3%)
	2048	63.9%	(42.5%)
	4096	21.4%	(21.3%)
	8192	0.1%	(0.1%)
824000	mean = 30072.4	max = 80320
	128	100%	(0.6%)
	256	99.4%	(3.3%)
	512	96.1%	(10.9%)
	1024	85.2%	(22.4%)
	2048	62.8%	(42.2%)
	4096	20.6%	(20.6%)
825000	mean = 30449.5	max = 86300
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(4.5%)
	512	94.6%	(8.4%)
	1024	86.2%	(21.4%)
	2048	64.8%	(43.3%)
	4096	21.5%	(21.5%)
826000	mean = 29973.5	max = 80320
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(4.6%)
	512	94.8%	(9.8%)
	1024	85%	(22.1%)
	2048	62.9%	(42.4%)
	4096	20.5%	(20.5%)
827000	mean = 29948.6	max = 78632
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(3.9%)
	512	95.5%	(9.8%)
	1024	85.7%	(21.2%)
	2048	64.5%	(44.5%)
	4096	20%	(20%)
828000	mean = 30655.5	max = 85248
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(4%)
	512	95.1%	(8.1%)
	1024	87%	(21.5%)
	2048	65.5%	(44.5%)
	4096	21%	(21%)
829000	mean = 30628.8	max = 83912
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(4.2%)
	512	95%	(10.2%)
	1024	84.8%	(20.3%)
	2048	64.5%	(42.7%)
	4096	21.8%	(21.8%)
830000	mean = 30812.9	max = 88896
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.7%)
	256	99.1%	(3.7%)
	512	95.4%	(9.6%)
	1024	85.8%	(20.8%)
	2048	65%	(43.4%)
	4096	21.6%	(21.6%)
831000	mean = 30346	max = 80120
	64	100%	(0.3%)
	128	99.7%	(0.4%)
	256	99.3%	(3.2%)
	512	96.1%	(10.2%)
	1024	85.9%	(19.2%)
	2048	66.7%	(46.6%)
	4096	20.1%	(20.1%)
832000	mean = 31459.5	max = 83252
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(3.6%)
	512	95.7%	(8%)
	1024	87.7%	(20.9%)
	2048	66.8%	(43.5%)
	4096	23.3%	(23.3%)
833000	mean = 30240.5	max = 80524
	128	100%	(0.3%)
	256	99.7%	(3.5%)
	512	96.2%	(9%)
	1024	87.2%	(23.7%)
	2048	63.5%	(43.4%)
	4096	20.1%	(20.1%)
834000	mean = 30419.2	max = 113184
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(3.9%)
	512	95.5%	(9.2%)
	1024	86.3%	(22.1%)
	2048	64.2%	(43.1%)
	4096	21.1%	(21%)
	8192	0.1%	(0.1%)
835000	mean = 29992.4	max = 110220
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(3.1%)
	512	96.1%	(10.1%)
	1024	86%	(21.1%)
	2048	64.9%	(45.5%)
	4096	19.4%	(19.3%)
	8192	0.1%	(0.1%)
836000	mean = 30887.4	max = 108592
	128	100%	(0.5%)
	256	99.5%	(3.7%)
